Month,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
12.5,1.5155094695,74.395643786,0.0393698746,68.77612693766216,69.49379916705823,70.59148810211305,72.40632639333774,74.395643786,76.35790617193862,78.10201973435667,79.13625191371818,79.80418692509808
13.5,1.4907650275,75.557854397,0.0394598321,69.84280473803678,70.57206791217446,71.68783959820493,73.53349119687982,75.557854397,77.55593963500418,79.3329020440415,80.38704859579595,81.06801366456347
14.5,1.460458255,76.676858713,0.0395623818,70.86873554897542,71.6091122237936,72.74233054631799,74.61798935156294,76.676858713,78.71057804992208,80.52050097571406,81.59474985629193,82.28891384870649
15.5,1.4260060091,77.757009856,0.0396745415,71.85807481441606,72.60914322738506,73.75923909439666,75.66416402944654,77.757009856,79.8261262130668,81.66903344516031,82.76350174214824,83.47098066238375
16.5,1.3885070954,78.801984056,0.0397940102,72.8143250204203,73.57571020675712,74.74217141814671,76.67567844175949,78.801984056,80.90622640643474,82.78207554161696,83.89682611143358,84.61769529309653
17.5,1.3488181274,79.814918523,0.0399189943,73.74047006491209,74.51183666427754,75.6941996522115,77.6556549949202,79.814918523,81.95399236537308,83.8626908671008,84.99774469006032,85.7320478519033
18.5,1.3076096543,80.798515316,0.0400480838,74.63907612335024,75.42012251709421,76.61796556800067,78.60677999475872,80.798515316,82.97211039650014,84.91352766073952,86.06887315895675,86.81662923948022
19.5,1.2654081486,81.755120921,0.0401801621,75.51236874937773,76.30282224303916,77.51575988667487,79.53138379372157,81.755120921,83.96291696188626,85.93689347843434,87.11249362801317,87.87370200947133
20.5,1.2226277319,82.686788098,0.0403143396,76.36229262515307,77.16190546516302,78.38958380065266,80.43150301025635,82.686788098,84.92845907743542,86.93481346087921,88.13061128497736,88.9052558357328
21.5,1.1795943654,83.59532461,0.040449904,77.1905585396518,77.99910459758676,79.24119737267088,81.3089295059433,83.59532461,85.87054196953326,87.9090763999459,89.12499925246073,89.91305148719245
22.5,1.1365644483,84.48233206,0.0405862829,77.9986807194647,78.81595271936166,80.07215802740647,82.16524937136313,84.48233206,86.79076712385827,88.861271598425,90.0972345401269,90.89865611755826
23.5,1.0937319466,85.349236238,0.0407230154,78.78800783342093,79.61381456443733,80.88385146734228,83.00187361507382,85.349236238,87.69056225786913,89.79281851940435,91.04872751979536,91.86347263803066
24.5,1.0512729122,86.197316902,0.0408597268,79.5597432560035,80.39390918252667,81.67751732240224,83.82006697853616,86.197316902,88.57120953092115,90.70499152534055,91.98074369339503,92.80875920767022
25.5,1.041951175,87.090263184,0.0411421607,80.33998364478609,81.1880425327028,82.49318412932207,84.6720881213213,87.090263184,89.5056243790664,91.67717994761706,92.97573731334013,93.818641483058
26.5,1.0125922357,87.957141816,0.0413493986,81.11331524831633,81.97222926948807,83.29458969171982,85.50360235083957,87.957141816,90.40981964746601,92.61658224901308,93.93692673101961,94.79426257830288
27.5,0.9705419086,88.796018399,0.041500428,81.87334277757797,82.74084468344553,84.07717332211526,86.31150620636325,88.796018399,91.28258036467636,93.52226564866592,94.86338934515855,95.7346447679359
28.5,0.9211299875,89.605511504,0.0416105082,82.61506447169354,83.48950736058096,84.83741222364752,87.09345895109752,89.605511504,92.1231313812475,94.39371454422258,95.75464088219796,96.63927598135868
29.5,0.8682213922,90.38476689,0.0416917614,83.33473293033708,84.214958896625,85.57272806480468,87.84782699722449,90.38476689,92.9311262420439,95.23081789505538,96.61061463136018,97.50808067009919
30.5,0.8145441296,91.133417221,0.0417536804,84.02971817124639,84.91494389232733,86.28139026865233,88.57361881667748,91.133417221,93.70662119700393,96.03384731772206,97.43163805745768,98.34139389226577
31.5,0.7619579771,91.851543603,0.0418035615,84.698367159698,85.58808886059425,86.96242077557685,89.27042289991756,91.851543603,94.45004781907151,96.80343009861083,98.21840207611757,99.13992666311108
