Month,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
18.5,0.1653041691,82.405436434,0.0394943647,76.47095627901038,77.19523001883644,78.3216802341811,80.23453383323479,82.405436434,84.62514967900101,86.66541348903583,87.90595157461624,88.71949557757395
19.5,0.3133018086,83.339380627,0.0396442379,77.28300000897994,78.02559583973817,79.17862610071506,81.1313057809738,83.339380627,85.5883747924065,87.64785881487592,88.89651687378971,89.71393272571655
20.5,0.4584554707,84.247833944,0.0397951891,78.06971428782964,78.83076661130326,80.01048050836427,82.00292107012113,84.247833944,86.52561719981227,88.60385241536571,89.86038176166532,90.68153435727308
21.5,0.6005446308,85.132696575,0.0399463877,78.83308171721539,79.61270881606104,80.81918694147242,82.85129370593606,85.132696575,87.43878684755883,89.53533266083764,90.79950901212906,91.62428128925974
22.5,0.7394389526,85.995648803,0.0400971806,79.57484555802922,80.3731528544819,81.60645749528346,83.67811296054039,85.995648803,88.32957470719673,90.44401549244586,91.71563467589921,92.54392388588977
23.5,0.8750004465,86.838175097,0.0402470597,80.29655659134912,81.1136348241789,82.3738080633518,84.48487091397702,86.838175097,89.19947893906046,91.3314274071703,92.61030750047394,93.44202663332027
24.5,1.0072080698,87.661609339,0.0403956257,80.9995872983678,81.83551817574903,83.12258949448649,85.27290404353181,87.661609339,90.04984549311636,92.19893497120117,93.48490873360218,94.31998042249506
25.5,0.8372513507,88.452472817,0.0405775247,81.74463953308847,82.58135344381797,83.87244978008758,86.03702902072158,88.452472817,90.87870055723732,93.0714335250574,94.38774522480011,95.24419298993301
26.5,0.681492975,89.223264339,0.0407231216,82.47365273070014,83.31105282866484,84.60576246327356,86.78329345801583,89.223264339,91.68467602565714,93.9181746482636,95.26300075976926,96.13961610634952
27.5,0.5387796541,89.975492278,0.0408331942,83.18812205702696,84.02609005649909,85.32398911573479,87.51317400272427,89.975492278,92.46928892146316,94.74063663311355,96.11210119888335,97.00762789525717
28.5,0.4076971531,90.710408526,0.0409090589,83.88930684138421,84.7276916167264,86.02832995692444,88.22787586649696,90.710408526,93.23384749379954,95.54016226247235,96.93639476235641,97.84957200913313
29.5,0.2867624533,91.429077621,0.0409524329,84.57826388934267,85.41688027158656,86.71977994325312,88.92840117065415,91.429077621,93.97950842599391,96.31799564893205,97.73717289439466,98.66676679104773
30.5,0.1744894848,92.132423789,0.0409653301,85.25588691618213,86.09451744683165,87.3991747668398,89.61559786982572,92.132423789,94.70731653541579,97.07531110491341,98.51569104205063,99.46052026667704
31.5,0.0694445205,92.821271673,0.0409499758,85.92293959848467,86.7613389249827,88.06722988268606,90.29020176841622,92.821271673,95.41823884514176,97.81323660105552,99.27318377700549,100.23213911268546
32.5,-0.029720564,93.496379457,0.0409087367,86.5800851110585,87.41798587421515,88.72457345346352,90.95287107222292,93.496379457,96.11319216899733,98.53287254204307,100.01087654766904,100.9829351608369
33.5,-0.124251789,94.158465459,0.0408440616,87.22791274128976,88.06503203379997,89.3717742721354,91.60421467141437,94.158465459,96.79306504412006,99.23530653227454,100.72999471935574,101.71423013491311
34.5,-0.215288396,94.808229231,0.0407584307,87.86696171583914,88.70300744836479,90.00936536320444,92.24481514650212,94.808229231,97.45873490142458,99.92162482495482,101.43177049143671,102.4273591591809
35.5,-0.30385434,95.446369813,0.0406543122,88.49774096049686,89.3324183664647,90.63786404228334,92.87524861071734,95.446369813,98.11108261347032,100.59292122326605,102.11744721866171,103.12367158861994
